language,category,exam_type,name,content,plan
Coreen,골반(여성),IRM,MRI 여성 골반(자궁내막증),"임상 적응증: 
지정됩니다.
 검사 방법: 
MRI 여성 골반에 맞게 조정된 시퀀스(프로토콜에 따라 지정됨).
 영상 소견: 
자궁:
전향 및 전굴, 정상 크기: 높이 [XXX] cm, 두께 [XXX] cm, 너비 [XXX] cm;
얇은 접합부, 두께: [XXX] mm;
일반 자궁내막, 두께: [XXX] mm;
평활근종이나 선근증의 징후가 없는 균질한 자궁근층.
난소:
여러 개의 모낭을 포함하는 정상 크기;
자궁내막증의 징후는 없습니다.
전방 복강하 공간:
방광-자궁 막다른 골목과 방광 돔은 손상되지 않았습니다.
후방 복막하 공간:
자궁 원환체, 자궁천골 인대 뿌리, 질 막다른 골목, 직장질 중격, 직장 전벽 및 S자 모양의 정상적인 모습;
요관에는 이상이 없습니다.
골반 삼출:
없음.
 결론: 
자궁내막증의 징후는 없습니다. 그렇지 않으면 정상적인 여성 골반입니다.",pro
Coreen,골반(여성),IRM,MRI 골반,"임상 적응증: 
[완료예정]
 검사 방법: 
 임상 적응증: 
[완료예정]
 영상 소견: 
- 자궁은 전향 및 전굴곡되어 있으며 장축이 cm인 보통 크기이고 미세한 접합부가 있는 균질한 자궁근층을 갖습니다.
- 자궁내막이 mm 정도로 얇습니다.
- 자궁경부에 눈에 띄는 이상이 없습니다.
- 난포 난소.
- 질에 이상이 없습니다.
- 복강 내 삼출이 없습니다.
 결론: 
 MRI 감지 가능한 이상이 없는 골반",pro
Coreen,골반(남성),IRM,전립선의 MRI,"임상 적응증: 
[완료예정]
 검사 방법: 
 MRI 전립선. 획득된 시퀀스:
 T2 HASTE 세 평면에서,
확산(b 값: 50, 1000 및 2000 계산),
 Dotarem ® 정맥 주사 전후의 T1 축 영상(동적 획득).
 영상 소견: 
전립선:
크기: [] × [] × [] mm(전후방 × 측면 측면 × 두개미골).
전립선 용적: [] cm³.
PSA의 밀도: [] ng/ ml / cm³.
전립선 내 출혈:
결석.
주변 지역:
의심스러운 병변이 없습니다.
과도기 구역:
의심스러운 병변이 없습니다.
병변:
의심스러운 병변은 확인되지 않았습니다.
정낭:
[정상적인 모습/이상 없는 모습].
방광:
구체적이지 않습니다.
림프절 부위:
조사된 부피에 의심스러운 림프절병증이 없습니다.
기타 골반 구조:
탐사된 볼륨에는 의심스러운 이상이 없습니다.
뼈 구조:
탐사된 볼륨에는 의심스러운 이상이 없습니다.
 결론: 
의심스러운 전립선 병변이 없습니다.
리뷰는 PI-RADS [1/2]로 평가되었습니다.",pro
Coreen,복부,Radiographie conventionnelle,준비되지 않은 복부,"임상 적응증: 
[완료예정]
 검사 방법: 
위치: 서기
발생빈도: 얼굴
 영상 소견: 
횡경막 돔 아래에는 자유 공기가 없습니다.
눈에 보이는 수력 공중 수준이 없습니다.
결장 프레임에 공전증이 존재합니다.
정상적인 폐 기지.
정상적인 뼈 구조.
 결론: 
천공이나 급성 폐색의 방사선학적 징후가 없는 대장 공전증.",pro
Coreen,근골격계,Radiographie conventionnelle,어깨 엑스레이,"임상 적응증: 
—
 검사 방법: 
발생빈도: 얼굴, 니어
측면: [오른쪽; 왼쪽]
 영상 소견: 
해부학적 관계와 관련하여 뼈 구조가 잘 정렬되어 있으며, 특히 견봉하 공간이 보존되어 있습니다.
골절이나 급성 외상후 손상이 없습니다.
정상적인 뼈 광물화.
연약한 부분에는 이상이 없으며 눈에 보이는 힘줄 석회화도 없습니다.
 결론: 
별다른 이상이 발견되지 않은 어깨 엑스레이.",pro
Coreen,근골격계,Radiographie conventionnelle,발목 엑스레이,"임상 적응증: 
—
 검사 방법: 
영향: 얼굴 및 프로필
측면: [오른쪽; 왼쪽]
 영상 소견: 
경골 장붓구멍의 병리학적 개방 없이 해부학적 관계에 대한 뼈 구조의 양호한 정렬.
골절이나 급성 외상후 손상이 없습니다.
정상적인 뼈 광물화.
말초주위를 포함한 연약한 부위에 이상이 없습니다.
 결론: 
발목 엑스레이에서는 특별한 이상이 발견되지 않는 정상입니다.",pro
Coreen,근골격계,Radiographie conventionnelle,고관절 엑스레이,"임상 적응증: 
지정됩니다.
 검사 방법: 
달성된 영향:
골반: 얼굴;
엉덩이 [오른쪽 / 왼쪽]: 전면 및 축.
 영상 소견: 
뼈 구조의 올바른 정렬 및 해부학적 관계 존중;
골절이나 기타 급성 외상 후 손상이 없습니다.
정상적인 뼈 광물화;
부드러운 부분에 이상이 없습니다.
 결론: 
정상적인 고관절 엑스레이.",pro
Coreen,근골격계,Radiographie conventionnelle,무릎 엑스레이(외상),"임상 적응증: 
외상
 검사 방법: 
영향: 얼굴 및 프로필
측면: [오른쪽; 왼쪽]
 영상 소견: 
비교 방사선 촬영이 불가능합니다.
해부학적 관계와 관련하여 뼈 구조가 잘 정렬되어 있습니다.
골절이나 급성 외상후 손상이 없습니다.
정상적인 뼈 광물화.
연약한 부분에는 이상이 없으며, 특히 사골하 오목부에 관절내 삼출이 보이지 않습니다.
 결론: 
골절이 없습니다.
관절 내 삼출이 없습니다.",pro
Coreen,근골격계,Radiographie conventionnelle,무릎 X-레이(임신증 평가),"임상 적응증: 
무릎에 대한 고통스러운 평가. 임질증을 검색해 보세요.

 검사 방법: 
표준 보기(하중 얼굴, 프로필, 슬개대퇴 경로 및 Schuss)에 따라 촬영한 무릎 엑스레이.
양측 연구(오른쪽 및 왼쪽).

 영상 소견: 

뼈 구조:
뼈 구조의 만족스러운 정렬. 골절이나 급성 뼈 손상이 없습니다. 광물화가 보존됩니다.

조인트 라인:
큰 압박 없이 대퇴 경골 및 대퇴 슬개골 공간의 높이를 존중합니다.

관절면:
눈에 보이는 골관절염 변화의 부재(골증식증 없음, 측지선 없음, 연골하 응축 없음).

부드러운 부품:
관절주위 연조직 이상이 없습니다.
눈에 보이는 관절내 삼출이 없습니다.

 결론: 
생식선증에 유리한 증거가 없는 무릎의 방사선 사진 소견.
감지 가능한 뼈 또는 관절 이상이 없습니다.",pro
Coreen,근골격계,Radiographie conventionnelle,팔꿈치 엑스레이,"임상 적응증: 
골절 검색.
 검사 방법: 
발생빈도: 얼굴과 프로필.
검사한 측면: [오른쪽/왼쪽].
 영상 소견: 
비교할 수 없습니다.
뼈 구조의 올바른 정렬 및 해부학적 관계 존중;
골절이나 기타 급성 외상 후 손상이 없습니다.
정상적인 광물화;
부드러운 부분에 이상이 없습니다.
 결론: 
팔꿈치 [오른쪽/왼쪽] 엑스레이는 정상이며 골절 징후는 없습니다.",pro
Coreen,근골격계,Radiographie conventionnelle,발 엑스레이,"임상 적응증: 


 검사 방법: 
발생빈도: 전면 및 경사.
측면: [오른쪽; 왼쪽].

 영상 소견: 
뼈 구조가 잘 정렬되고 해부학적 관계가 존중됩니다.
골절이나 기타 급성 외상 후 손상이 없습니다.
특별한 특징이 없는 광물화.
눈에 띄지 않는 부드러운 부품.

 결론:",pro
Coreen,흉부,Radiographie conventionnelle,흉부 엑스레이,"임상 적응증: 
평가를 명확히 해야 합니다.

 검사 방법: 
정면(후-전방), 기립 자세, 깊은 흡기 상태에서 촬영한 흉부 X선 사진입니다.

 영상 소견: 

폐장: 정상적인 폐 투명성. 폐포염, 결절 또는 의심되는 간질성 증후군이 없습니다.

흉막: 흉막 삼출의 부재(자유 흉막 막힘) 또는 내장 흉막의 박리(기흉 없음).

종격동: 정상적인 크기와 형태의 심장 모양. 생리적 폭의 종격동. 일반 밀도 파일.

포함: 뼈 구조(갈비뼈, 쇄골, 척추)의 무결성. 부드러운 부분이나 횡격막 큐폴라에 이상이 없습니다.

 결론: 
정상 흉부 엑스레이: 진행성 흉막폐, 실질 또는 종격동 이상이 없습니다.",pro
Coreen,대뇌,Scanner,대뇌 혈관 조영술,"임상 적응증: 
[완료예정]
 검사 방법: 
동맥 시간에 조영제를 주입한 후 3분 후에 획득합니다.
 영상 소견: 
비교 방사선 촬영이 불가능합니다.
최근 두개내출혈은 없습니다.
심각한 이상 없이 정상적인 뇌 실질 밀도.
의심스러운 병변이 없거나 비정상적인 조영증강이 있습니다.
정상적인 심실 구조와 뇌 주위 유체 공간.
질량 효과 없음, 정중선 이탈 없음, 두개내 침범 없음.
윌리스 특허 다각형의 동맥, 근위 부분에 이상이 없음.
대뇌 정맥, 경막 정맥동 및 경정맥의 근위 부분은 특허입니다.
뼈 구조, 두개골의 공기화 및 정상적인 두개내 연조직.
 결론: 
정상적인 뇌 스캔, 감지 가능한 두개내 이상 없음.",pro
Coreen,대뇌,Scanner,대뇌 및 대동맥궁 상부 줄기 혈관 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
주사 없이(두개골) 용적을 획득한 다음, 동맥 시간(대동맥궁 상부 줄기 및 두개골)과 3분(두개골)에 조영제 주입 후.
 영상 소견: 
뇌 실질:
심각한 이상 없이 정상적인 밀도.
최근 허혈성 손상의 징후가 없습니다.
최근 두개내출혈은 없습니다.
의심스러운 대비 향상이 없습니다.
대칭적이고 보통 크기의 심실 시스템.
정상적인 뇌주위 유체 공간과 기저 수조.
질량 효과 없음, 정중선 이탈 없음, 두개내 침범 없음.
혈관 분석:
감지할 수 있는 이상이 없는 대동맥궁(부분 탐색)
심각한 협착이나 박리의 징후가 없는 대동맥 간간이 열려 있습니다.
윌리스 특허 다각형의 동맥, 근위 부분은 정상입니다.
대뇌정맥과 경막정맥동의 특허.
뼈 구조 및 부드러운 부분:
뼈 구조, 두개골의 공기화 및 정상적인 두개내 연조직.
 결론: 
최근 허혈성 손상의 징후가 없습니다.
심각한 이상 없이 뇌동맥의 투과성이 정상입니다.",pro
Coreen,대뇌,Scanner,뇌 스캐너(기본),"임상 적응증: 
[완료예정]
 검사 방법: 
조영제 주사 없이 검사 진행 
 영상 소견: 
천막 층:
- V4 중앙값.
- 뇌간 및 소뇌 실질의 밀도 이상이 없습니다.
- 기본 탱크는 무료입니다.
상위 임시 수준:
- 뇌 실질의 밀도 이상이 없습니다.
- 심실계는 정상적인 형태이다.
- 중앙 구조물이 설치되어 있습니다.
 결론: 
 CT 뇌에는 이상이 없습니다.",pro
Coreen,대뇌,Scanner,뇌스캔(주사),"임상 적응증: 
[완료예정]
 검사 방법: 
조영제 정맥 주사 후 획득하지 않은 경우.
 영상 소견: 
최근 두개내 출혈이 없습니다.
뇌 실질의 심각한 밀도 이상이 없습니다.
의심되는 두개내 병변이 없고, 특히 의심스러운 뇌척수막 조영제 섭취가 없습니다.
심실 시스템, 뇌 주위 유체 공간 또는 기저 수조의 이상이 없습니다.
정중선 구조 또는 맞물림의 이탈을 포함하여 두개내 질량 효과가 없습니다.
뼈 구조나 두개내 연조직에 심각한 이상이 없습니다.
윌리스 다각형의 동맥 개통성(기술에 따라 다름)
대뇌 정맥, 경막 정맥동 및 경정맥의 근위 부분의 개통.
공압 공동의 환기가 잘됩니다.
뼈 구조에 심각한 이상이 없습니다.
두개주위 연조직 이상이 없습니다.
 결론: 
[완료예정]",pro
Coreen,대뇌,Scanner,외상성 뇌 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
 임상 적응증: 
[완료예정]
 영상 소견: 
경막외(HED) 또는 경막하(HSD) 혈종이 없습니다.
지주막 하 출혈이 없습니다.
천막상 또는 천막하 타박상 부위가 없습니다.
정상적인 형태의 심실 시스템.
대뇌 참여가 없습니다.
정중선 구조가 제자리에 있습니다.
무료 기본 탱크.
골절이 없습니다.
 결론: 
정상적인 뇌 스캔, 감지 가능한 두개내 외상성 병변 없음.",pro
Coreen,대뇌,Scanner,뇌경부 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
조영제 주입 없이 획득.
 영상 소견: 
뇌:
최근 두개내출혈은 없습니다.
밀도 이상이 없는 균질한 뇌 실질.
정상적인 크기의 대칭 심실 시스템.
기저 수조와 자유 뇌 주위 유체 공간.
질량 효과, 정중선 이탈 또는 대뇌 참여가 없습니다.
뼈 구조, 두개골의 공기화 및 정상적인 두개내 연조직.
경추:
생리학적 경추 전만증이 보존되어 있습니다.
척추체의 정상적인 정렬.
신체 높이, 체간 공간 및 관절 관계가 보존됩니다.
골절, 정착 또는 분리가 없습니다.
척추관과 구멍이 좁아지지 않았습니다.
척추 주위 지방 패드의 침윤이나 척추 전 비후가 없는 정상적인 연조직.
 결론: 
일반 스캐너.
두개 내 출혈이 없습니다.
두개골이나 경추 골절이 없습니다.",pro
Coreen,대뇌,Scanner,경추-등 스캐너,"임상 적응증: 
경추-등 외상
 검사 방법: 
조영제 정맥주사 없이 획득
 영상 소견: 
생리학적 경추 전만증과 등쪽 후만증이 보존되었습니다.
척추체의 정렬이 좋습니다.
신체 높이, 체간 공간 및 관절 관계가 존중됩니다.
급성 외상 후 뼈 손상이 없습니다. 골절, 압박 또는 분리가 없습니다.
척추관과 구멍이 크게 좁아지지 않았습니다.
척추 주위 지방 패드의 침윤이나 척추 전 비후가 없는 정상적인 연조직.
 결론: 
정상적인 경추-등뼈.
감지 가능한 외상후 병변이 없습니다.",pro
Coreen,대뇌,Scanner,얼굴 부위 스캐너(외상성),"임상 적응증: 
외상 후 평가.
 검사 방법: 
주입 없이 획득.
 영상 소견: 
안면 골절이 없습니다.
얼굴의 공압 구멍의 통풍이 잘됩니다.
궤도 이상이 없습니다.
얼굴의 연조직에 이상이 없습니다.
이 기술에 따라 두개내 이상이 없고 특히 눈에 띄는 두개내 출혈이 없습니다.
탐색된 부피에 신경두개골 또는 상부 경추의 골절이 없습니다(부분 탐색).
 결론: 
안면 골절이 없습니다.",pro
Coreen,대뇌,Scanner,얼굴 부위 스캐너,"임상 적응증: 
외상 후 평가.
 검사 방법: 
조영제 주입 없이 얼굴 부위를 중심으로 나선형 획득.
 영상 소견: 
-전두동의 정상적인 공기압화.
- 상악동의 정상적인 기압화
- 사골세포의 정상적인 공기압화.
-접형동의 정상적인 기압화: 격막...... 
- 무료 골다공증 교차로
-무료 캐붐. 
-의심스러운 뼈 병변이 없습니다.
수술 위험이 있는 해부학적 변형:
- 후각 홈통(KEROS).
- 사골 지붕의 비대칭이 없습니다.
-클리노이드 과정의 공압화가 없습니다. 
-안와하 통로의 탈출이 없음 
- 시신경 또는 경동맥 탈출이 없습니다.
감금 위험이 있는 해부학적 변형:
- Concha Bullosa의 부재
- 비중격 만곡이 없습니다.
- uncinate 과정의 공압화가 없습니다.
- 치아 탈출증이 없습니다.
 결론: 
 임상 적응증: 
[완료예정]",pro
Coreen,대뇌,Scanner,허혈성 뇌졸중 스캔,"임상 적응증: 
외상 후 평가.
 검사 방법: 
IV 조영제 주입 없이 0.5 mm 축 단면을 사용하여 뇌를 탐색합니다.
 영상 소견: 
체계화된 우측 측두엽 피질-피질하 저밀도.
중앙 구조물이 자리잡고 있습니다.
심실 시스템은 확장되지 않은 정중선입니다.
기본 탱크는 무료입니다.
뇌내 또는 뇌주위 출혈이 없습니다.
경막하 또는 경막외 수집이 없습니다.
글로벌 뇌 위축.
백혈병증.
 결론: 
오른쪽 표면 실비안 영역의 최근 허혈성 뇌졸중.",pro
Coreen,대뇌,Scanner,출혈성 또는 허혈성 뇌졸중 스캔,"임상 적응증: 
외상 후 평가.
 검사 방법: 
조영제를 주사하지 않은 상태와 주입한 상태에서 검사 수행 
 영상 소견: 
천막 층:
- V4 중앙값.
- 뇌간 및 소뇌 실질의 밀도 이상이 없습니다.
- 기본 탱크는 무료입니다.
상위 임시 수준:
- 백질증.
- 미만성 피질하 피질 위축.
- 다른 곳에서는 뇌 실질의 밀도 이상이 없습니다.
- 심실계는 정상적인 형태이다.
- 중앙 구조물이 설치되어 있습니다.
 결론: 
CT 징후가 없으면 최근 출혈성 또는 허혈성 뇌졸중을 시사합니다.",pro
Coreen,대뇌,Scanner,후두,"임상 적응증: 
외상 후 평가.
 검사 방법: 
조영제 주사 후 경부 및 흉부 수준을 중심으로 나선형 획득 
 영상 소견: 
자궁 경부 수준에서:
- 성대가 두꺼워지지 않습니다.
- 성문하 수준에서 두꺼워짐이 없습니다. 
- HTE 구획 및 후두 주위 공간의 무결성.
- 갑상선, 윤상연골, 피열연골의 완전성.
- 후두 심실뿐만 아니라 현관의 무결성.
- 무료 캐비티 
- 무료 호흡소화 시스템.
- 얼굴의 깊은 공간의 무결성. 
- 경정맥 축의 투과성이 보존됩니다.
- 균일한 갑상선. 
- 경부 림프절병증 없음 
흉부 수준에서: 
- 폐실질의 의심스러운 밀도 이상이 없음.
- 흉막-심낭 삼출이 없습니다.
- 종격동 선종대가 없습니다.
 결론: 
 임상 적응증: 
[완료예정]",pro
Coreen,척추,Scanner,경추 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
 임상 적응증: 
[완료예정]
 영상 소견: 
- 과도기적 이상이 없습니다.
- 자궁경관은 정상적인 체질적 치수를 갖고 있습니다.
- 눈에 띄는 국소 뼈 병변이 없습니다.
- 눈에 띄는 골절은 없습니다.
- 주목할만한 척추 주위 연조직 이상이 없습니다.
- 경추-후두 경첩의 무결성.
- C1 - C2 조인트의 무결성.
 * 층 C3 - C4:
- 전체 또는 초점 디스크 돌출이 없습니다.
- 골간 골관절염이 없습니다.
- 황색인대의 비대가 없습니다.
- 구멍은 무료입니다.
 * 층 C4 - C5:
- 전체 또는 초점 디스크 돌출이 없습니다.
- 골간 골관절염이 없습니다.
- 황색인대의 비대가 없습니다.
- 구멍은 무료입니다.
 * 층 C5 - C6:
- 전체 또는 초점 디스크 돌출이 없습니다.
- 골간 골관절염이 없습니다.
- 황색인대의 비대가 없습니다.
- 구멍은 무료입니다.
 * 층 C6 - C7:
- 전체 또는 초점 디스크 돌출이 없습니다.
- 골간 골관절염이 없습니다.
- 황색인대의 비대가 없습니다.
- 구멍은 무료입니다.
 결론: 
 임상 적응증: 
[완료예정]",pro
Coreen,척추,Scanner,외상성 경추의 CT,"임상 적응증: 
자궁 경부 외상의 맥락.
 검사 방법: 
정맥 조영제를 주사하지 않고 검사를 실시합니다.
 영상 소견: 
생리학적 경추 곡률이 존중됩니다.
척추체의 정렬이 정확합니다.
관절 관계, 척추 높이 및 척추 사이 공간이 보존됩니다.
외상으로 인한 급성 뼈 기형은 강조되지 않으며, 특히 골절, 척추 압박 또는 분리가 없습니다.
척추관과 구멍은 크게 좁아지지 않습니다.
연조직은 척추 주위 지방 조직의 침윤이나 척추 전 연조직의 비후 없이 정상입니다.
 결론: 
외상후 경추 손상의 징후는 없습니다.",pro
Coreen,척추,Scanner,등쪽 척추 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
조영제 주입 없이 나선형 획득이 수행되었습니다.
 영상 소견: 
흉추의 생리적 후만증 유지.
척추체의 올바른 정렬.
보존된 척추체의 높이.
골절이나 붕괴의 흔적은 없습니다.
관절 관계와 체간 공간이 보존됩니다.
눈에 띄는 협착이 없는 척수관과 구멍.
이상이 없는 연조직.
 결론: 
[문맥에 따라 완성됩니다. 예: ""검출 가능한 병변이 없는 정상적인 형태의 흉추.""]",pro
Coreen,척추,Scanner,흉추 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
조영제 주입 없이 나선형 획득이 수행되었습니다.
 영상 소견: 
생리학적 등쪽 후만증과 요추 전만증이 보존되었습니다.
척추체의 정상적인 정렬.
척추체 높이가 유지됩니다.
골절이나 붕괴가 없습니다.
관절 관계와 체간 공간이 보존됩니다.
척추관과 구멍이 크게 좁아지지 않았습니다.
정상적인 연조직.
 결론: 
등뼈와 요추는 정상적인 형태이며, 감지할 수 있는 이상은 없습니다.",pro
Coreen,척추,Scanner,전체 척추 스캔,"임상 적응증: 
외상 후 맥락에서의 탐구.
 검사 방법: 
조영제를 주입하지 않고 검사를 진행하였습니다.
 영상 소견: 
척추의 생리학적 곡률이 존중됩니다.
척추체의 정렬은 만족스럽습니다.
관절 관계, 척추 높이 및 척추 사이 공간이 보존됩니다.
외상성 기원의 급성 뼈 병변은 확인되지 않았으며, 특히 골절, 압박 또는 분리가 없었습니다.
두개골 바닥에는 비특이적 검사를 통해 감지할 수 있는 이상이 없습니다.
척추관과 구멍은 크게 좁아지지 않습니다.
부드러운 부분에는 이상이 없습니다.
 결론: 
객관적인 외상후 이상 징후가 없습니다.",pro
Coreen,척추,Scanner,요추 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
조영제 주입 없이 얇은 부분 재구성을 통한 꼬리 획득.
 영상 소견: 
과도기적 이상이 없습니다.
정상적인 크기의 요추관.
국소 뼈 병변이 없습니다.
척수 주위 연조직은 눈에 띄지 않습니다.
층 L3 - L4:
전체 또는 초점 돌출이 없는 디스크.
골단간 골관절염은 없습니다.
비대화된 노란색 인대.
자유공.
층 L4 - L5:
전체 또는 초점 돌출이 없는 디스크.
골단간 골관절염은 없습니다.
비대화된 노란색 인대.
자유공.
층 L5 - S1:
전체 또는 초점 돌출이 없는 디스크.
골단간 골관절염은 없습니다.
비대화된 노란색 인대.
자유공.
 결론: 
 CT 요추에 이상이 발견되지 않았습니다.",pro
Coreen,이비인후과,Scanner,암석 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
조영제 주입 없이 얇은 단면 재구성을 통한 나선형 획득.
 영상 소견: 
오른쪽 귀:
암석 및 기포 공동: 정상적인 형태.
외이도 및 고막: 보존된 자유구경, 얇고 규칙적인 고막.
공기압화: 유양돌기와 고막이 적절하게 환기됩니다. 일반적인 타원형 및 둥근 창.
소골 사슬: 완전성, 이상이 없음.
안면 신경관: 열개의 징후가 없는 정상적인 과정입니다.
내이(미로):
정상적인 Modiolus를 가진 잘 발달된 달팽이관.
반고리관은 손상되지 않았습니다.
정상적인 형태의 현관.
내이도: 정상 크기이며 이상이 없습니다.
경정맥: 탈출이나 열개 없이 정상적인 위치입니다.
왼쪽 귀:
검사된 모든 구조는 오른쪽 귀와 동일한 정상적인 모습을 가지고 있습니다.
 결론: 
 CT 왼쪽과 마찬가지로 오른쪽에도 중이(유양돌기, 고막강, 소골쇄, 안면 신경) 구조나 내이(달팽이관, 반고리관, 전정, 내이도) 구조에 심각한 이상이 없는 결석.",pro
Coreen,이비인후과,Scanner,부비동 스캔,"임상 적응증: 
안면동의 탐색.
 검사 방법: 
조영제를 주입하지 않고 검사를 진행하였습니다.
 영상 소견: 
전두동, 접형동, 사골동, 상악동 및 유양돌기 세포는 만족스러운 기압 및 통기를 나타냅니다.
점막이 두꺼워지거나 수중 공기 수준이 관찰되지 않습니다.
상악동에서는 치아 기원의 물질이 확인되지 않습니다.
장골 복합체는 투과성이 있습니다.
비두관은 무료입니다.
상악 누두는 투과성이 있습니다.
비중격은 큰 편차를 보이지 않습니다.
골용해성 또는 골응축형의 의심스러운 뼈 병변은 없습니다.
치근단 치주병증은 나타나지 않습니다.
사골의 체판은 손상되지 않았으며 열개 징후도 없습니다.
경동맥이 접형동으로 탈출되지 않습니다.
 결론: 
눈에 띄는 이상이 없는 안면동 스캔.",pro
Coreen,이비인후과,Scanner,경추스캐너(목),"임상 적응증: 
경추안면 탐사.
 검사 방법: 
조영제를 이중 주입한 후 부피 획득을 수행합니다.
 영상 소견: 
상부 호흡소화관에는 어떤 의심스러운 이상도 나타나지 않으며, 병리학적 조영증강이나 점막 또는 점막하 기원의 종괴 효과도 없습니다.
Waldeyer의 반지는 외관상 정상입니다.
의심되는 경부 림프절병증은 확인되지 않았습니다.
깊은 경추 공간에는 병리학적 침윤의 징후가 보이지 않습니다.
경동맥, 척추 및 경정맥 혈관 축은 투과성이 있습니다.
갑상선은 정상적으로 보입니다.
주요 타액선은 눈에 띄지 않습니다.
비특이적 검사를 통해 뇌내 이상은 보이지 않습니다.
두개골의 공압 구멍이 적절하게 환기됩니다.
조사된 뼈 구조에는 심각한 이상이 나타나지 않습니다.
 결론: 
감지할 수 있는 이상이 없는 자궁경부 스캔.",pro
Coreen,흉부,Scanner,폐 CT 혈관조영술(PE),"임상 적응증: 
폐색전증에 대한 탐구.
 검사 방법: 
동맥 단계에서 조영제 정맥 주사 후 CT 스캔을 수행했습니다.
 영상 소견: 
하위 분절 수준을 포함하여 폐색전증을 암시하는 충전 결함은 나타나지 않습니다.
심장의 크기는 정상입니다.
오른쪽 심방(RV/LV 비율이 1 미만)이나 폐동맥 줄기나 가지의 확장이 없습니다.
큰 흉부 혈관은 눈에 띄지 않습니다.
심낭 삼출의 부재.
기관과 근위 기관지는 정상으로 보입니다.
폐 실질은 특별한 이상을 나타내지 않으며, 특히 폐경색의 징후가 없습니다.
흉막삼출은 관찰되지 않았습니다.
횡경막상선종대는 확인되지 않습니다.
비전용 부분 탐색으로 인해 상복부 수준의 분석이 제한됩니다.
조사된 뼈 구조에는 의심스러운 병변이 보이지 않습니다.
 결론: 
폐색전증을 지지하는 증거는 없습니다.",pro
Coreen,흉부,Scanner,흉부 스캔,"임상 적응증: 
[임상 요구에 따라 지정됨]
 검사 방법: 
조영제 주입 없이 흉부 부피 획득을 수행했습니다.
 영상 소견: 
종격 및 심장 창:
기관 및 근위 기관지: 이상 없음, 기관기관지 트리가 자유로움.
심장 및 심낭: 심장 크기가 정상이고 심낭 삼출이 없습니다.
림프절: 종격동, 실질, 겨드랑이 또는 쇄골상부 수준에 심각한 선종대가 없습니다.
대형 혈관: 외관상 정상이며 눈에 띄는 이상이 없습니다. 폐색전증의 징후가 없습니다(조영제가 없어서 제한됨).
흉막실질 창:
폐 실질(Lung parenchyma): 작은 기도 이상이나 포착 징후가 없는 정상적인 밀도.
결절 및 병변: 의심스럽거나 진화하는 결절은 없습니다.
흉막삼출: 없음.
뼈 창:
흉부 골격: 의심스러운 병변이 없습니다.
기타 요소:
상복부: 부분 탐색, 전용이 아님.
횡격막: 횡경막하 림프절이 감지되지 않았습니다.
 결론: 
 CT 정상 흉부.
의심스러운 실질, 흉막 또는 림프절 병변이 없습니다.",pro
Coreen,흉부,Scanner,혈관색전증,"임상 적응증: 
[임상 요구에 따라 지정됨]
 검사 방법: 
조영제 주입 후 흉부의 부피 획득.
 영상 소견: 
1-종격동 창:
-폐동맥간은 투과성이 있고 구경은 정상이다. 
-우측 및 좌측 폐동맥과 엽성 및 분절 분할 기관지는 개방되어 있으며 구경은 정상입니다.
-RV/LV 비율이 <1인 오른쪽 심방의 확장이 없습니다.
-AP/AO 비율이 1 미만인 폐동맥 줄기의 확장이 없습니다.
-종격동 선종증의 부재.
-심낭 삼출이 없습니다.
2-흉막 실질 창: 
- 무료 기관지 나무.
-진행성 또는 의심스러운 폐결절이 없습니다.
- 흉막 삼출이 없습니다.
 결론: 
[완료예정]",pro
Coreen,흉부,Scanner,흉부 외상,"임상 적응증: 
[임상 요구에 따라 지정됨]
 검사 방법: 
 영상 소견: 
-목까지 연장되는 전흉벽의 기종격동 및 피하 폐기종과 관련된 적당한 양의 왼쪽 기흉이 나타납니다.
-다발성 갈비뼈 골절의 존재, 흥미로운 점:. 왼쪽 첫 번째 갈비뼈의 앞쪽 아치의 변위된 골절. 왼쪽 두 번째 갈비뼈 중간 아치의 비전위 골절. 왼쪽 4번 갈비뼈 중간궁의 비전위 골절입니다.. 오른쪽 1번 갈비뼈의 앞쪽 아치가 골절되었습니다.. 오른쪽 2번, 3번, 4번, 5번 갈비뼈 앞쪽 아치의 전위되지 않은 골절
-발견 가능한 척추 골절이 없습니다. 척추 정렬이 정확합니다. 
-폐 타박상의 초점과 관련된 왼쪽 후-기저 실질 응결.
-작은 오른쪽 후-기저부 결로.
 결론: 
[완료예정]",pro
